id,trial,cond,prob,ea1,ea2,ea3,ea4,focal,support1,support2,support3,support4,support5,support6,age,gender,GamesWeek,GamesSeason,SportsNews,ea,strength
64,1,singular,.85000002,3,3,3,7,Grizzlies,95,70,100,85,80,75,46,1,3,30,9,1,.30538166
64,2,singular,.85000002,3,3,3,7,Grizzlies,95,70,100,85,80,75,46,1,3,30,9,1,.064538524
64,3,singular,.5,3,3,3,7,Clippers,95,70,100,85,80,75,46,1,3,30,9,1,-.16251893
65,1,singular,.44999999,3,5,4,2,Clippers,80,60,100,85,70,55,24,1,6,159,15,0,-.28768209
65,2,singular,.55000001,3,5,4,2,Grizzlies,80,60,100,85,70,55,24,1,6,159,15,0,.24116206
65,3,singular,.69999999,3,5,4,2,Grizzlies,80,60,100,85,70,55,24,1,6,159,15,0,.16251893
66,1,distributional,.64999998,4,5,2,6,Grizzlies,1,1,1,1,100,2,26,1,2,35,40,1.25,0
66,2,distributional,.44999999,4,5,2,6,Clippers,1,1,1,1,100,2,26,1,2,35,40,1.25,-3.9120231
66,3,distributional,.50999999,4,5,2,6,Grizzlies,1,1,1,1,100,2,26,1,2,35,40,1.25,0
67,1,distributional,.64999998,4,4,4,4,Grizzlies,90,70,100,87,80,70,30,1,5,80,15,0,.25131443
67,2,distributional,.55000001,4,4,4,4,Grizzlies,90,70,100,87,80,70,30,1,5,80,15,0,.13353139
67,3,distributional,.64999998,4,4,4,4,Grizzlies,90,70,100,87,80,70,30,1,5,80,15,0,.13926207
68,1,singular,.69999999,3,6,3,5,Grizzlies,94,82,100,92,94,50,43,1,2,40,2,1.25,.13657553
68,2,singular,.89999998,3,6,3,5,Grizzlies,94,82,100,92,94,50,43,1,2,40,2,1.25,.63127178
68,3,singular,.55000001,3,6,3,5,Grizzlies,94,82,100,92,94,50,43,1,2,40,2,1.25,.083381608
69,1,singular,.69999999,6,5,5,5,Grizzlies,72,45,100,75,70,40,24,1,2,30,6,-.25,.47000363
