id,game,prob,extremity,upper,lower,p100,ea,focus,seed,outcome,pc,diff,brier,bin,Oj,resolution,reliability,outcomevar,screen1,screen2,screen3
3,3,.15000001,.34999999,,.15000001,0,,0,14,0,1,.86666667,.022500001,1,.19934641,.091829933,.0024350674,.25005388,5,5,4
3,4,.1,.40000001,,.1,0,,0,13,0,1,.84666669,.010000001,0,.17948718,.10426039,.006318212,.25005388,5,5,4
3,5,.2,.30000001,,.2,0,,0,12,0,1,.79333335,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,5,5,4
3,6,.40000001,.099999994,,.40000001,0,,0,10,0,1,.77333331,.16000001,3,.31976745,.033347692,.0064372639,.25005388,5,5,4
3,7,.60000002,.10000002,.60000002,,0,,1,8,1,1,.54000002,.15999998,5,.60317463,.010159365,.000010078104,.25005388,5,5,4
3,8,.1,.40000001,,.1,0,5.3000002,0,15,0,1,.85333335,.010000001,0,.17948718,.10426039,.006318212,.25005388,5,5,4
3,9,.85000002,.35000002,.85000002,,0,,1,3,1,1,.84666669,.022499993,8,.82594937,.10469652,.00057843392,.25005388,5,5,4
3,10,.69999999,.19999999,.69999999,,0,,1,4,1,1,.83999997,.090000004,6,.67654324,.0303325,.00055021921,.25005388,5,5,4
3,11,.30000001,.19999999,,.30000001,0,,0,12,0,1,.82666665,.090000004,2,.27793697,.050375104,.00048677804,.25005388,5,5,4
3,12,.25,.25,,.25,0,,0,11,0,1,.63333333,.0625,2,.27793697,.050375104,.00078047405,.25005388,5,5,4
3,13,.55000001,.050000012,.55000001,,0,,1,7,1,1,.67333335,.20249999,5,.60317463,.010159365,.0028275396,.25005388,5,5,4
3,14,.5,0,,,0,,1,8,1,0,.56666666,.25,4,.46165413,.0016586743,.001470406,.25005388,5,5,4
3,15,.050000001,.44999999,,.050000001,0,,0,15,0,1,.86000001,.0025000002,0,.17948718,.10426039,.01676693,.25005388,5,5,4
3,16,.1,.40000001,,.1,0,4.9000001,0,14,1,0,.19333333,.81,0,.17948718,.10426039,.006318212,.25005388,5,5,4
3,17,.15000001,.34999999,,.15000001,0,4.3000002,0,13,0,1,.80666667,.022500001,1,.19934641,.091829933,.0024350674,.25005388,5,5,4
3,18,.050000001,.44999999,,.050000001,0,,0,12,0,1,.81999999,.0025000002,0,.17948718,.10426039,.01676693,.25005388,5,5,4
3,19,.15000001,.34999999,,.15000001,0,,1,6,0,1,.33333334,.022500001,1,.19934641,.091829933,.0024350674,.25005388,5,5,4
3,20,.55000001,.050000012,.55000001,,0,,0,10,0,0,.73333335,.30250001,5,.60317463,.010159365,.0028275396,.25005388,5,5,4
3,21,.55000001,.050000012,.55000001,,0,,0,9,0,0,.56666666,.30250001,5,.60317463,.010159365,.0028275396,.25005388,5,5,4
3,22,0,.5,,0,1,,0,16,0,1,.83333331,0,0,.17948718,.10426039,.032215647,.25005388,5,5,4
3,23,.050000001,.44999999,,.050000001,0,,0,15,0,1,.89999998,.0025000002,0,.17948718,.10426039,.01676693,.25005388,5,5,4
3,24,.80000001,.30000001,.80000001,,0,,1,3,0,0,.18666667,.64000005,7,.72098768,.047788899,.006242949,.25005388,5,5,4
3,25,.1,.40000001,,.1,0,,0,13,0,1,.85333335,.010000001,0,.17948718,.10426039,.006318212,.25005388,5,5,4
3,26,.5,0,,,0,,1,5,1,1,.86000001,.25,4,.46165413,.0016586743,.001470406,.25005388,5,5,4
3,27,.60000002,.10000002,.60000002,,0,,1,7,0,0,.48666668,.36000001,5,.60317463,.010159365,.000010078104,.25005388,5,5,4
